# Re Bn n x v
100 0 0.5 0.07116564417177912 0.03917808219178043
100 0 0.5 0.18527607361963194 0.07589041095890381
100 0 0.5 .2693251533742332 0.08520547945205448
100 0 0.5 .3128834355828221 0.085753424657534
100 0 0.5 .3711656441717793 0.08136986301369831
100 0 0.5 .44478527607361984 0.06876712328767098
100 0 0.5 .5190184049079757 0.04520547945205444
100 0 0.5 .5625766871165646 0.023835616438355967
100 0 0.5 .617791411042945 -0.009589041095890538
100 0 0.5 .6582822085889574 -0.03808219178082228
100 0 0.5 .7141104294478531 -0.0846575342465754
100 0 0.5 .7484662576687119 -0.11041095890410957
100 0 0.5 .8361963190184046 -0.14931506849315057
100 0 0.5 .8797546012269941 -0.13123287671232897
100 0 0.5 .915950920245399 -0.1005479452054796
100 0 1.5 0.016564417177914084 0.03479452054794496
100 0 1.5 .03926380368098159 0.08082191780821901
100 0 1.5 .06503067484662575 0.12465753424657522
100 0 1.5 .1251533742331289 0.19972602739725986
100 0 1.5 .1766871165644172 0.22493150684931462
100 0 1.5 .23680981595092032 0.22712328767123235
100 0 1.5 .28834355828220865 0.21178082191780778
100 0 1.5 .3300613496932516 0.1909589041095886
100 0 1.5 .3846625766871167 0.15424657534246555
100 0 1.5 .4098159509202456 0.1301369863013695
100 0 1.5 .4607361963190185 0.0802739726027395
100 0 1.5 .5030674846625769 0.028767123287670948
100 0 1.5 .5398773006134971 -0.019452054794520723
100 0 1.5 .5699386503067486 -0.058356164383561726
100 0 1.5 .6049079754601229 -0.10493150684931529
100 0 1.5 .6656441717791411 -0.18438356164383563
100 0 1.5 .7006134969325155 -0.21999999999999997
100 0 1.5 .7680981595092026 -0.2643835616438355
100 0 1.5 .819631901840491 -0.26219178082191785
100 0 1.5 .8828220858895707 -0.20684931506849313
100 0 1.5 .9092024539877304 -0.17232876712328782
100 0 1.5 .9343558282208593 -0.12794520547945232
100 0 1.5 .9834355828220862 -0.03150684931506875
100 0.1 1 0 0.0014925373134329067
100 0.1 1 0.061437908496732016 0.08805970149253728
100 0.1 1 0.11372549019607835 0.13358208955223883
100 0.1 1 0.188235294117647 0.16567164179104465
100 0.1 1 0.23921568627450973 0.1708955223880596
100 0.1 1 0.31503267973856186 0.1604477611940297
100 0.1 1 0.37385620915032663 0.14029850746268646
100 0.1 1 0.4261437908496729 0.11194029850746245
100 0.1 1 0.47320261437908484 0.07761194029850715
100 0.1 1 0.5215686274509801 0.03582089552238776
100 0.1 1 0.5803921568627448 -0.029850746268657025
100 0.1 1 0.6261437908496729 -0.08134328358208998
100 0.1 1 0.664052287581699 -0.1283582089552242
100 0.1 1 0.7058823529411763 -0.1746268656716421
100 0.1 1 0.7555555555555553 -0.22014925373134364
100 0.1 1 0.8169934640522869 -0.23955223880597054
100 0.1 1 0.8888888888888885 -0.1880597014925378
100 0.1 1 0.9294117647058818 -0.12611940298507507
100 0.1 1 0.9895424836601302 -0.01343283582089605
100 1.0 1 0.048366013071895406 0.03656716417910455
100 1.0 1 0.09150326797385615 0.06641791044776113
100 1.0 1 0.13725490196078427 0.09029850746268653
100 1.0 1 0.1986928104575163 0.11119402985074622
100 1.0 1 0.2653594771241829 0.11865671641791053
100 1.0 1 0.3307189542483659 0.11194029850746257
100 1.0 1 0.44575163398692785 0.07164179104477586
100 1.0 1 0.5372549019607841 0.014925373134328068
100 1.0 1 0.5738562091503265 -0.01119402985074669
100 1.0 1 0.652287581699346 -0.07462686567164223
100 1.0 1 0.7281045751633982 -0.13208955223880636
100 1.0 1 0.7764705882352938 -0.15522388059701542
100 1.0 1 0.8483660130718951 -0.15298507462686606
100 1.0 1 0.9189542483660128 -0.09552238805970203
100 1.0 1 0.9725490196078425 -0.0305970149253737

