# Re Bn n x v
100 0 0.5 0.0006134969325152784 0.0008219178082189416
100 0 0.5 0.025766871165644134 0.01835616438356147
100 0 0.5 0.05092024539877296 0.028767123287670948
100 0 0.5 0.10245398773006137 0.050136986301369646
100 0 0.5 0.20184049079754612 0.07808219178082165
100 0 0.5 0.2496932515337424 0.08301369863013663
100 0 0.5 0.30122699386503077 0.08301369863013663
100 0 0.5 0.40000000000000013 0.07479452054794478
100 0 0.5 0.6018404907975462 0.003013698630136785
100 0 0.5 0.7006134969325156 -0.06876712328767143
100 0 0.5 0.799386503067485 -0.1383561643835618
100 0 0.5 0.8478527607361966 -0.14602739726027414
100 0 0.5 0.8993865030674848 -0.11260273972602741
100 0 0.5 0.946625766871166 -0.05287671232876745
100 0 0.5 0.9723926380368102 -0.02000000000000024
100 0 0.5 0.9987730061349698 0.001369863013698236
100 0 1.5 0.026380368098159496 0.05452054794520533
100 0 1.5 0.051533742331288324 0.10657534246575318
100 0 1.5 0.15092024539877302 0.2172602739726024
100 0 1.5 0.20184049079754607 0.23205479452054756
100 0 1.5 0.2503067484662577 0.22438356164383522
100 0 1.5 0.34907975460122714 0.17835616438356117
100 0 1.5 0.45214723926380385 0.09068493150684898
100 0 1.5 0.5509202453987732 -0.03315068493150708
100 0 1.5 0.6503067484662578 -0.1613698630136986
100 0 1.5 0.7490797546012271 -0.25671232876712335
100 0 1.5 0.7969325153374236 -0.26986301369862997
100 0 1.5 0.8484662576687119 -0.24575342465753436
100 0 1.5 0.8987730061349695 -0.18712328767123299
100 0 1.5 0.9717791411042949 -0.049589041095890574
100 0 1.5 0.948466257668712 -0.1005479452054796
